"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","electionSum","electionRatio"
"충청남도","태안군",55320,42028,16678,23511,873,41062,97.7015323117921
"충청남도","금산군",44799,33699,14002,18178,647,32827,97.4123861242173
"충청남도","논산시",100285,73512,33822,36203,1601,71626,97.4344324736098
"충청남도","계룡시",34745,27992,11891,14718,799,27408,97.9136896256073
"충청남도","당진시",139481,100874,46903,49230,2258,98391,97.5385133929457
"충청남도","부여군",57573,43975,16813,25136,878,42827,97.3894258101194
"충청남도","서천군",45997,35136,15443,18168,688,34299,97.6178278688525
"충청남도","홍성군",84379,62416,25860,33581,1536,60977,97.6945014098949
"충청남도","청양군",27754,21588,7688,12932,416,21036,97.4430239021679
"충청남도","예산군",69064,51349,16904,32098,1034,50036,97.4429881789324
"전라북도","전주시완산구",285828,231447,188693,35152,3907,227752,98.4035221886652
"전라북도","전주시덕진구",265049,215995,175845,32731,4006,212582,98.4198708303433
"전라북도","군산시",225149,177339,144395,27400,2613,174408,98.3472332651024
"전라북도","익산시",239340,189310,154719,28076,3074,185869,98.1823464159315
"전라북도","정읍시",93594,75092,63487,9085,1040,73612,98.0290843232302
"전라북도","남원시",69190,56509,47470,7163,731,55364,97.9737740890832
"전라북도","김제시",72285,58026,48952,7164,750,56866,98.0008961500017
"전라북도","완주군",78117,63481,52862,8443,1063,62368,98.2467194908713
"전라북도","진안군",22568,18855,15637,2572,264,18473,97.9740121983559
"전라북도","무주군",21244,17429,13292,3426,313,17031,97.7164495955018
"전라북도","장수군",19371,16230,13564,2063,222,15849,97.6524953789279
"전라북도","임실군",24186,20057,16930,2416,253,19599,97.7165079523358
"전라북도","순창군",23847,19879,16980,2211,230,19421,97.696061170079
"전라북도","고창군",47655,38707,33000,4335,518,37853,97.7936807295838
"전라북도","부안군",45702,36856,31037,4572,467,36076,97.8836553071413
"전라남도","목포시",183659,145187,125790,14936,2021,142747,98.3194087624925
"전라남도","여수시",237455,189617,162006,21986,2266,186258,98.2285343613705
"전라남도","순천시",235327,192412,162566,23709,2780,189055,98.255306321851
"전라남도","나주시",99117,81076,68994,9512,1019,79525,98.0869801174207
"전라남도","광양시",126644,100876,81441,15843,1560,98844,97.9856457432888
"전라남도","담양군",41698,34632,30076,3435,396,33907,97.9065604065604
"전라남도","장성군",38486,31666,27132,3566,386,31084,98.1620665698225
"전라남도","곡성군",25143,20717,17472,2380,305,20157,97.2969059226722
"전라남도","구례군",22770,19132,16137,2352,232,18721,97.8517666736358
"전라남도","고흥군",57414,47171,40466,5120,507,46093,97.7146975896207
"전라남도","보성군",35850,29323,25214,3102,322,28638,97.6639498004979
"전라남도","화순군",55122,45152,39327,4389,475,44191,97.8716335931963
"전라남도","장흥군",32712,27048,23565,2555,301,26421,97.6818988464951
"전라남도","강진군",30272,24960,21064,3010,298,24372,97.6442307692308
"전라남도","완도군",42767,35300,31062,3085,347,34494,97.7167138810198
"전라남도","해남군",59631,48441,42071,4690,510,47271,97.5846906546108
"전라남도","진도군",26802,21744,18692,2313,219,21224,97.6085356880059
"전라남도","영암군",46507,37333,31909,4092,521,36522,97.8276591755284
"전라남도","무안군",75012,61552,52983,6624,808,60415,98.1527813880946
"전라남도","영광군",45280,36321,30855,4056,475,35386,97.4257316703835
"전라남도","함평군",28435,23295,20467,2052,259,22778,97.7806396222365
"전라남도","신안군",35175,29213,25583,2742,272,28597,97.8913497415534
"경상북도","포항시북구",232070,183046,45053,130458,3911,179422,98.0201697933853
"경상북도","포항시남구",197466,152184,38517,106712,3250,148479,97.5654470903643
"경상북도","울릉군",8141,6653,1590,4815,109,6514,97.9107169697881
"경상북도","경주시",220573,173759,43031,123196,3380,169607,97.6104834857475
"경상북도","김천시",120746,95575,22122,69272,1838,93232,97.5485221030604
"경상북도","안동시",136307,106950,30870,71881,1674,104425,97.6390836839645
"경상북도","구미시",338810,253211,67054,173950,5537,246541,97.3658332378925
"경상북도","영주시",89380,70769,17937,50214,1153,69304,97.9298845539714
"경상북도","영천시",91044,70942,14332,53537,1119,68988,97.2456372811593
"경상북도","상주시",85100,68459,13660,51935,1097,66692,97.4188930600798
"경상북도","문경시",63035,49720,9912,37738,808,48458,97.461786001609
"경상북도","예천군",47677,39128,9147,28320,653,38120,97.4238397055817
"경상북도","경산시",230797,176406,40267,128158,3533,171958,97.4785438137025
"경상북도","청도군",38816,30953,5654,24036,489,30179,97.4994346266921
"경상북도","고령군",27955,22270,3852,17464,317,21633,97.139649753031
"경상북도","성주군",39491,32009,5775,24975,472,31222,97.541316504733
"경상북도","칠곡군",96181,71492,17603,50468,1369,69440,97.1297487830806
"경상북도","군위군",21784,18239,2511,15032,216,17759,97.3682767695597
"경상북도","의성군",47369,39245,6431,31176,545,38152,97.2149318384508
"경상북도","청송군",22793,18789,3716,14268,298,18282,97.301612645697
"경상북도","영양군",14932,12337,2855,8968,208,12031,97.5196563183918
"경상북도","영덕군",32227,25897,4342,20611,310,25263,97.551839981465
"경상북도","봉화군",28052,22707,5252,16451,361,22064,97.1682741004976
"경상북도","울진군",42282,33544,6888,25287,476,32651,97.3378249463391
"경상남도","창원시의창구",185646,143063,52289,82914,3805,139008,97.1655843928899
"경상남도","창원시성산구",213187,170073,67177,93082,5428,165687,97.4211074068194
"경상남도","창원시마산합포구",156984,120928,37657,77518,2618,117793,97.4075482931993
"경상남도","창원시마산회원구",160587,125233,41527,77282,2911,121720,97.194828839044
"경상남도","창원시진해구",159611,119212,45890,66298,3075,115263,96.687414018723
"경상남도","진주시",292842,228238,74975,141433,5578,221986,97.26075412508
"경상남도","통영시",106361,80080,26387,49772,1573,77732,97.0679320679321
"경상남도","고성군",45053,34327,10348,22213,645,33206,96.73434905468
"경상남도","사천시",94303,71772,23424,44656,1581,69661,97.0587415705289
"경상남도","김해시",444342,328521,150338,160401,8587,319326,97.201092167624
"경상남도","밀양시",92517,70249,21906,44881,1457,68244,97.1458668450796
"경상남도","거제시",194074,145481,64355,71772,4186,140313,96.4476460843684
"경상남도","의령군",24419,19089,5396,12625,349,18370,96.2334328670962
"경상남도","함안군",54570,41791,13504,26066,921,40491,96.889282381374
"경상남도","창녕군",54037,41401,10934,28492,716,40142,96.9590106519166
"경상남도","양산시",294133,220501,92137,116904,5364,214405,97.2353866875887
"경상남도","하동군",39640,32089,11218,18974,723,30915,96.3414254105768
"경상남도","남해군",38680,30297,10143,18503,676,29322,96.7818595900584
"경상남도","함양군",34459,26955,8526,16957,528,26011,96.4978668150621
"경상남도","산청군",31645,24913,7125,16607,464,24196,97.1219845060812
"경상남도","거창군",53049,41399,11963,27254,895,40112,96.8912292567453
"경상남도","합천군",39768,31270,6911,22742,511,30164,96.4630636392709
"제주특별자치도","제주시",408552,296826,157695,122084,10007,289786,97.6282401137367
"제주특별자치도","서귀포시",155802,112823,55435,50930,3591,109956,97.4588514753197
